nomemunic,Codigobacia,Bacia
Mogi das Cruzes,6, Alto Tietê
Mogi Guaçu,9, Mogi
Moji Mirim,9, Mogi
Mombuca,5, Piracicaba/Capivari/Jundiaí
Monções,19, Baixo Tietê
Mongaguá,7, Baixada Santista
Monte Alegre do Sul,5, Piracicaba/Capivari/Jundiaí
Monte Alto,15, Turvo/Grande
Monte Aprazível,18, São José dos Dourados
Monte Azul Paulista,15, Turvo/Grande
Monte Castelo,20, Aguapeí
Monte Mor,5, Piracicaba/Capivari/Jundiaí
Monteiro Lobato,2, Paraíba do Sul
Morro Agudo,12, Baixo Pardo/Grande
Morungaba,5, Piracicaba/Capivari/Jundiaí
Motuca,9, Mogi
Murutinga do Sul,19, Baixo Tietê
Nantes,22, Pontal do Paranapanema
Narandiba,22, Pontal do Paranapanema
Natividade da Serra,2, Paraíba do Sul
Nazaré Paulista,5, Piracicaba/Capivari/Jundiaí
Neves Paulista,18, São José dos Dourados
Nhandeara,18, São José dos Dourados
Nipoã,19, Baixo Tietê
Nova Aliança,16, Tietê/Batalha
Nova Campina,14, Alto Paranapanema
Nova Canaã Paulista,18, São José dos Dourados
Nova Castilho,19, Baixo Tietê
Nova Europa,13, Tietê/Jacaré
Nova Granada,15, Turvo/Grande
Nova Guataporanga,20, Aguapeí
Nova Independência,20, Aguapeí
Nova Luzitânia,19, Baixo Tietê
Nova Odessa,5, Piracicaba/Capivari/Jundiaí
Novais,15, Turvo/Grande
Novo Horizonte,16, Tietê/Batalha
Nuporanga,8, Sapucaí/Grande
Ocauçu,17, Médio Paranapanema
Óleo,17, Médio Paranapanema
Olímpia,15, Turvo/Grande
Onda Verde,15, Turvo/Grande
Oriente,21, Peixe
Orindiúva,15, Turvo/Grande
Orlândia,12, Baixo Pardo/Grande
Osasco,6, Alto Tietê
Oscar Bressane,21, Peixe
Osvaldo Cruz,21, Peixe
Ourinhos,17, Médio Paranapanema
Ouro Verde,21, Peixe
Ouroeste,15, Turvo/Grande
Pacaembu,20, Aguapeí
Palestina,15, Turvo/Grande
Palmares Paulista,15, Turvo/Grande
Palmeira d'Oeste,18, São José dos Dourados
Palmital,17, Médio Paranapanema
Panorama,20, Aguapeí
Paraguaçu Paulista,17, Médio Paranapanema
Paraibuna,2, Paraíba do Sul
Paraíso,15, Turvo/Grande
Paranapanema,14, Alto Paranapanema
Paranapuã,15, Turvo/Grande
Parapuã,20, Aguapeí
Pardinho,17, Médio Paranapanema
Pariquera-Açu,11, Ribeira de Iguape/Litoral Sul
Parisi,15, Turvo/Grande
Patrocínio Paulista,8, Sapucaí/Grande
Paulicéia,20, Aguapeí
Paulínia,5, Piracicaba/Capivari/Jundiaí
Paulistânia,17, Médio Paranapanema
Paulo de Faria,15, Turvo/Grande
Pederneiras,13, Tietê/Jacaré
Pedra Bela,5, Piracicaba/Capivari/Jundiaí
Pedranópolis,15, Turvo/Grande
Pedregulho,8, Sapucaí/Grande
Pedreira,5, Piracicaba/Capivari/Jundiaí
Pedrinhas Paulista,17, Médio Paranapanema
Pedro de Toledo,11, Ribeira de Iguape/Litoral Sul
Penápolis,19, Baixo Tietê
Pereira Barreto,19, Baixo Tietê
Pereiras,10, Tietê/Sorocaba
Peruíbe,7, Baixada Santista
Piacatu,20, Aguapeí
Piedade,10, Tietê/Sorocaba
Pilar do Sul,14, Alto Paranapanema
Pindamonhangaba,2, Paraíba do Sul
Pindorama,15, Turvo/Grande
Pinhalzinho,5, Piracicaba/Capivari/Jundiaí
Piquerobi,21, Peixe
Piquete,2, Paraíba do Sul
Piracaia,5, Piracicaba/Capivari/Jundiaí
Piracicaba,5, Piracicaba/Capivari/Jundiaí
Piraju,14, Alto Paranapanema
Pirajuí,16, Tietê/Batalha
Pirangi,15, Turvo/Grande
Pirapora do Bom Jesus,6, Alto Tietê
Pirapozinho,22, Pontal do Paranapanema
Pirassununga,9, Mogi
Piratininga,16, Tietê/Batalha
Pitangueiras,9, Mogi
Planalto,19, Baixo Tietê
Platina,17, Médio Paranapanema
Poá,6, Alto Tietê
Poloni,19, Baixo Tietê
Pompéia,20, Aguapeí
Pongaí,16, Tietê/Batalha
Pontal,9, Mogi
Pontalinda,18, São José dos Dourados
Pontes Gestal,15, Turvo/Grande
Populina,15, Turvo/Grande
Porangaba,10, Tietê/Sorocaba
Porto Feliz,10, Tietê/Sorocaba
Porto Ferreira,9, Mogi
Potim,2, Paraíba do Sul
Potirendaba,16, Tietê/Batalha
Pracinha,21, Peixe
Pradópolis,9, Mogi
Praia Grande,7, Baixada Santista
Pratânia,17, Médio Paranapanema
Presidente Alves,16, Tietê/Batalha
Presidente Bernardes,22, Pontal do Paranapanema
Presidente Epitácio,22, Pontal do Paranapanema
Presidente Prudente,22, Pontal do Paranapanema
Presidente Venceslau,22, Pontal do Paranapanema
Promissão,19, Baixo Tietê
Quadra,10, Tietê/Sorocaba
Quatá,17, Médio Paranapanema
Queiroz,20, Aguapeí
Queluz,2, Paraíba do Sul
Quintana,20, Aguapeí
Rafard,5, Piracicaba/Capivari/Jundiaí
Rancharia,17, Médio Paranapanema
Redenção da Serra,2, Paraíba do Sul
Regente Feijó,22, Pontal do Paranapanema
Reginópolis,16, Tietê/Batalha
Registro,11, Ribeira de Iguape/Litoral Sul
Restinga,8, Sapucaí/Grande
Ribeira,11, Ribeira de Iguape/Litoral Sul
Ribeirão Bonito,13, Tietê/Jacaré
Ribeirão Branco,14, Alto Paranapanema
Ribeirão Corrente,8, Sapucaí/Grande
Ribeirão do Sul,17, Médio Paranapanema
Ribeirão dos Índios,21, Peixe
Ribeirão Grande,14, Alto Paranapanema
Ribeirão Pires,6, Alto Tietê
Ribeirão Preto,4, Pardo
Rifaina,8, Sapucaí/Grande
Rincão,9, Mogi
Rinópolis,20, Aguapeí
Rio Claro,5, Piracicaba/Capivari/Jundiaí
Rio das Pedras,5, Piracicaba/Capivari/Jundiaí
Rio Grande da Serra,6, Alto Tietê
Riolândia,15, Turvo/Grande
Riversul,14, Alto Paranapanema
Rosana,22, Pontal do Paranapanema
Roseira,2, Paraíba do Sul
Rubiácea,19, Baixo Tietê
Rubinéia,18, São José dos Dourados
Sabino,16, Tietê/Batalha
Sagres,21, Peixe
Sales,16, Tietê/Batalha
Sales Oliveira,4, Pardo
Salesópolis,6, Alto Tietê
Salmourão,20, Aguapeí
Saltinho,5, Piracicaba/Capivari/Jundiaí
Salto,5, Piracicaba/Capivari/Jundiaí
Salto de Pirapora,10, Tietê/Sorocaba
Salto Grande,17, Médio Paranapanema
Sandovalina,22, Pontal do Paranapanema
Santa Adélia,15, Turvo/Grande
Santa Albertina,15, Turvo/Grande
Santa Bárbara d'Oeste,5, Piracicaba/Capivari/Jundiaí
Santa Branca,2, Paraíba do Sul
Santa Clara d'Oeste,15, Turvo/Grande
Santa Cruz da Conceição,9, Mogi
Santa Cruz da Esperança,4, Pardo
Santa Cruz das Palmeiras,9, Mogi
Santa Cruz do Rio Pardo,17, Médio Paranapanema
Santa Ernestina,16, Tietê/Batalha
Santa Fé do Sul,18, São José dos Dourados
Santa Gertrudes,5, Piracicaba/Capivari/Jundiaí
Santa Isabel,2, Paraíba do Sul
Santa Lucia,9, Mogi
Santa Maria da Serra,5, Piracicaba/Capivari/Jundiaí
Santa Mercedes,20, Aguapeí
Santa Rita do Passa Quatro,9, Mogi
Santa Rita d'Oeste,15, Turvo/Grande
Santa Rosa do Viterbo,4, Pardo
Santa Salete,18, São José dos Dourados
Santana da Ponte Pensa,18, São José dos Dourados
Santana de Parnaíba,6, Alto Tietê
Santo Anastácio,22, Pontal do Paranapanema
Santo André,6, Alto Tietê
Santo Antonio da Alegria,8, Sapucaí/Grande
Santo Antonio de Posse,5, Piracicaba/Capivari/Jundiaí
Santo Antonio do Aracanguá,19, Baixo Tietê
Santo Antonio do Jardim,9, Mogi
Santo Antonio do Pinhal,1, Mantiqueira
Santo Expedito,21, Peixe
Santópolis do Aguapeí,20, Aguapeí
Santos,7, Baixada Santista
São Bento do Sapucaí,1, Mantiqueira
São Bernardo do Campo,6, Alto Tietê
São Caetano do Sul,6, Alto Tietê
São Carlos,13, Tietê/Jacaré
São Francisco,18, São José dos Dourados
São João da Boa Vista,9, Mogi
São João das Duas Pontes,18, São José dos Dourados
São João de Iracema,18, São José dos Dourados
São João do Pau d'Alho,20, Aguapeí
São Joaquim da Barra,8, Sapucaí/Grande
São José da Bela Vista,8, Sapucaí/Grande
São José do Barreiro,2, Paraíba do Sul
São José do Rio Pardo,4, Pardo
São José do Rio Preto,15, Turvo/Grande
São José dos Campos,2, Paraíba do Sul
São Lourenço da Serra,11, Ribeira de Iguape/Litoral Sul
São Luís do Paraitinga,2, Paraíba do Sul
São Manuel,13, Tietê/Jacaré
São Miguel Arcanjo,14, Alto Paranapanema
São Paulo,6, Alto Tietê
São Pedro,5, Piracicaba/Capivari/Jundiaí
São Pedro do Turvo,17, Médio Paranapanema
São Roque,10, Tietê/Sorocaba
São Sebastião,3, Litoral Norte
São Sebastião da Grama,4, Pardo
São Simão,4, Pardo
São Vicente,7, Baixada Santista
Sarapuí,10, Tietê/Sorocaba
Sarutaiá,14, Alto Paranapanema
Sebastianópolis do Sul,18, São José dos Dourados
Serra Azul,4, Pardo
Serra Negra,9, Mogi
Serrana,4, Pardo
Sertãozinho,9, Mogi
Sete Barras,11, Ribeira de Iguape/Litoral Sul
Severínia,15, Turvo/Grande
Silveiras,2, Paraíba do Sul
Socorro,9, Mogi
Sorocaba,10, Tietê/Sorocaba
Sud Mennucci,19, Baixo Tietê
Sumaré,5, Piracicaba/Capivari/Jundiaí
Suzanápolis,18, São José dos Dourados
Suzano,6, Alto Tietê
Tabapuã,15, Turvo/Grande
Tabatinga,13, Tietê/Jacaré
Taboão da Serra,6, Alto Tietê
Taciba,22, Pontal do Paranapanema
Taguaí,14, Alto Paranapanema
Taiaçu,15, Turvo/Grande
Taiúva,15, Turvo/Grande
Tambaú,4, Pardo
Tanabi,15, Turvo/Grande
Tapiraí,11, Ribeira de Iguape/Litoral Sul
Tapiratiba,4, Pardo
Taquaral,9, Mogi
Taquaritinga,16, Tietê/Batalha
Taquarituba,14, Alto Paranapanema
Taquarivaí,14, Alto Paranapanema
Tarabaí,22, Pontal do Paranapanema
Tarumã,17, Médio Paranapanema
Tatuí,10, Tietê/Sorocaba
Taubaté,2, Paraíba do Sul
Tejupá,14, Alto Paranapanema
Teodoro Sampaio,22, Pontal do Paranapanema
Terra Roxa,12, Baixo Pardo/Grande
Tietê,10, Tietê/Sorocaba
Timburi,14, Alto Paranapanema
Torre de Pedra,10, Tietê/Sorocaba
Torrinha,13, Tietê/Jacaré
Trabiju,13, Tietê/Jacaré
Tremembé,2, Paraíba do Sul
Três Fronteiras,18, São José dos Dourados
Tuiuti,5, Piracicaba/Capivari/Jundiaí
Tupã,20, Aguapeí
Tupi Paulista,20, Aguapeí
Turiúba,19, Baixo Tietê
Turmalina,15, Turvo/Grande
Ubarana,19, Baixo Tietê
Ubatuba,3, Litoral Norte
Ubirajara,17, Médio Paranapanema
Uchôa,15, Turvo/Grande
União Paulista,19, Baixo Tietê
Urânia,15, Turvo/Grande
Uru,16, Tietê/Batalha
Urupês,16, Tietê/Batalha
Valentim Gentil,15, Turvo/Grande
Valinhos,5, Piracicaba/Capivari/Jundiaí
Valparaíso,19, Baixo Tietê
Vargem,5, Piracicaba/Capivari/Jundiaí
Vargem Grande do Sul,4, Pardo
Vargem Grande Paulista,10, Tietê/Sorocaba
Várzea Paulista,5, Piracicaba/Capivari/Jundiaí
Vera Cruz,20, Aguapeí
Vinhedo,5, Piracicaba/Capivari/Jundiaí
Viradouro,12, Baixo Pardo/Grande
Vista Alegre do Alto,15, Turvo/Grande
Vitória Brasil,15, Turvo/Grande
Votorantim,10, Tietê/Sorocaba
Votuporanga,15, Turvo/Grande
Zacarias,19, Baixo Tietê
