Município,Ano,Area Colhida
3504008,2008,23251
3504008,2009,19745
3504008,2010,23452
3504008,2011,25402
3504008,2012,25727
3504008,2013,25633
3504008,2014,25574
3504107,1990,628
3504107,1991,623
3504107,1992,603
3504107,1993,693
3504107,1994,819
3504107,1995,747
3504107,1996,761
3504107,1997,805
3504107,1998,895
3504107,1999,930
3504107,2000,860
3504107,2001,902
3504107,2002,860
3504107,2003,876
3504107,2004,805
3504107,2005,923
3504107,2006,1458
3504107,2007,1317
3504107,2008,1584
3504107,2009,1579
3504107,2010,1465
3504107,2011,1381
3504107,2012,1223
3504107,2013,1250
3504107,2014,1420
3504206,1990,3184
3504206,1991,2389
3504206,1992,2715
3504206,1993,2610
3504206,1994,2360
3504206,1995,2650
3504206,1996,1574
3504206,1997,1577
3504206,1998,1418
3504206,1999,1317
3504206,2000,1169
3504206,2001,1258
3504206,2002,1230
3504206,2003,1133
3504206,2004,1725
3504206,2005,1928
3504206,2006,672
3504206,2007,2781
3504206,2008,2026
3504206,2009,508
3504206,2010,2750
3504206,2011,6450
3504206,2012,7333
3504206,2013,5536
3504206,2014,5573
3504305,1990,2778
3504305,1991,4825
3504305,1992,5022
3504305,1993,4325
3504305,1994,4912
3504305,1995,3153
3504305,1996,2372
3504305,1997,3681
3504305,1998,3311
3504305,1999,3715
3504305,2000,2668
3504305,2001,2339
3504305,2002,2830
3504305,2003,2746
3504305,2004,2727
3504305,2005,2660
3504305,2006,2437
3504305,2007,2464
3504305,2008,2811
3504305,2009,2633
3504305,2010,5680
3504305,2011,4896
3504305,2012,4733
3504305,2013,4710
3504305,2014,1673
3504404,1990,11326
3504404,1991,13995
3504404,1992,9745
3504404,1993,9693
3504404,1994,9400
3504404,1995,9360
3504404,1996,11820
3504404,1997,11836
3504404,1998,12071
3504404,1999,12010
3504404,2000,9770
3504404,2001,550
3504404,2002,8517
3504404,2003,14136
3504404,2004,15690
3504404,2005,12077
3504404,2006,14595
3504404,2007,15036
3504404,2008,18388
3504404,2009,18000
3504404,2010,25452
3504404,2011,25334
3504404,2012,26617
3504404,2013,26737
3504404,2014,21506
3504503,1990,14890
3504503,1991,14840
3504503,1992,13930
3504503,1993,11740
3504503,1994,10770
3504503,1995,13714
3504503,1996,15370
3504503,1997,15650
3504503,1998,16188
3504503,1999,12098
3504503,2000,12860
