Municipio,Lavoura temporária,Ano,Valor
3500808,Girassol (em grão),2014,-
3500808,Juta (fibra),1995,-
3500808,Juta (fibra),2014,-
3500808,Linho (semente),1995,-
3500808,Linho (semente),2014,-
3500808,Malva (fibra),1995,-
3500808,Malva (fibra),2014,-
3500808,Mamona (baga),1995,4
3500808,Mamona (baga),2014,-
3500808,Mandioca,1995,-
3500808,Mandioca,2014,267
3500808,Melancia,1995,92
3500808,Melancia,2014,-
3500808,Melão,1995,-
3500808,Melão,2014,-
3500808,Milho (em grão),1995,120
3500808,Milho (em grão),2014,111
3500808,Rami (fibra),1995,-
3500808,Rami (fibra),2014,-
3500808,Soja (em grão),1995,-
3500808,Soja (em grão),2014,-
3500808,Sorgo (em grão),1995,-
3500808,Sorgo (em grão),2014,-
3500808,Tomate,1995,56
3500808,Tomate,2014,-
3500808,Trigo (em grão),1995,-
3500808,Trigo (em grão),2014,-
3500808,Triticale (em grão),1995,-
3500808,Triticale (em grão),2014,-
3500907,Abacaxi,1995,-
3500907,Abacaxi,2014,-
3500907,Algodão herbáceo (em caroço),1995,-
3500907,Algodão herbáceo (em caroço),2014,-
3500907,Alho,1995,-
3500907,Alho,2014,-
3500907,Amendoim (em casca),1995,-
3500907,Amendoim (em casca),2014,-
3500907,Arroz (em casca),1995,21
3500907,Arroz (em casca),2014,-
3500907,Aveia (em grão),1995,-
3500907,Aveia (em grão),2014,-
3500907,Batata-doce,1995,-
3500907,Batata-doce,2014,-
3500907,Batata-inglesa,1995,-
3500907,Batata-inglesa,2014,-
3500907,Cana-de-açúcar,1995,5720
3500907,Cana-de-açúcar,2014,122850
3500907,Cebola,1995,-
3500907,Cebola,2014,-
3500907,Centeio (em grão),1995,-
3500907,Centeio (em grão),2014,-
3500907,Cevada (em grão),1995,-
3500907,Cevada (em grão),2014,-
3500907,Ervilha (em grão),1995,-
3500907,Ervilha (em grão),2014,-
3500907,Fava (em grão),1995,-
3500907,Fava (em grão),2014,-
3500907,Feijão (em grão),1995,-
3500907,Feijão (em grão),2014,-
3500907,Fumo (em folha),1995,-
3500907,Fumo (em folha),2014,-
3500907,Girassol (em grão),1995,-
3500907,Girassol (em grão),2014,-
3500907,Juta (fibra),1995,-
3500907,Juta (fibra),2014,-
3500907,Linho (semente),1995,-
3500907,Linho (semente),2014,-
3500907,Malva (fibra),1995,-
3500907,Malva (fibra),2014,-
3500907,Mamona (baga),1995,-
3500907,Mamona (baga),2014,-
3500907,Mandioca,1995,-
3500907,Mandioca,2014,-
3500907,Melancia,1995,-
3500907,Melancia,2014,-
3500907,Melão,1995,-
3500907,Melão,2014,-
3500907,Milho (em grão),1995,180
3500907,Milho (em grão),2014,599
3500907,Rami (fibra),1995,-
3500907,Rami (fibra),2014,-
3500907,Soja (em grão),1995,113
3500907,Soja (em grão),2014,972
3500907,Sorgo (em grão),1995,13
3500907,Sorgo (em grão),2014,-
3500907,Tomate,1995,-
3500907,Tomate,2014,-
3500907,Trigo (em grão),1995,-
3500907,Trigo (em grão),2014,-
3500907,Triticale (em grão),1995,-
3500907,Triticale (em grão),2014,-
3501004,Abacaxi,1995,-
3501004,Abacaxi,2014,-
3501004,Algodão herbáceo (em caroço),1995,309
3501004,Algodão herbáceo (em caroço),2014,-
3501004,Alho,1995,-
3501004,Alho,2014,-
3501004,Amendoim (em casca),1995,78
3501004,Amendoim (em casca),2014,236
3501004,Arroz (em casca),1995,189
3501004,Arroz (em casca),2014,29
3501004,Aveia (em grão),1995,-
3501004,Aveia (em grão),2014,-
3501004,Batata-doce,1995,-
3501004,Batata-doce,2014,-
3501004,Batata-inglesa,1995,-
3501004,Batata-inglesa,2014,-
3501004,Cana-de-açúcar,1995,6160
3501004,Cana-de-açúcar,2014,107944
3501004,Cebola,1995,1440
3501004,Cebola,2014,2310
3501004,Centeio (em grão),1995,-
3501004,Centeio (em grão),2014,-
3501004,Cevada (em grão),1995,-
3501004,Cevada (em grão),2014,-
3501004,Ervilha (em grão),1995,-
3501004,Ervilha (em grão),2014,-
3501004,Fava (em grão),1995,-
3501004,Fava (em grão),2014,-
3501004,Feijão (em grão),1995,170
3501004,Feijão (em grão),2014,748
3501004,Fumo (em folha),1995,-
3501004,Fumo (em folha),2014,-
3501004,Girassol (em grão),1995,-
3501004,Girassol (em grão),2014,-
3501004,Juta (fibra),1995,-
3501004,Juta (fibra),2014,-
3501004,Linho (semente),1995,-
3501004,Linho (semente),2014,-
3501004,Malva (fibra),1995,-
3501004,Malva (fibra),2014,-
3501004,Mamona (baga),1995,-
3501004,Mamona (baga),2014,-
3501004,Mandioca,1995,-
3501004,Mandioca,2014,28
3501004,Melancia,1995,-
3501004,Melancia,2014,-
3501004,Melão,1995,-
3501004,Melão,2014,-
3501004,Milho (em grão),1995,1472
3501004,Milho (em grão),2014,4787
3501004,Rami (fibra),1995,-
3501004,Rami (fibra),2014,-
3501004,Soja (em grão),1995,410
3501004,Soja (em grão),2014,5367
3501004,Sorgo (em grão),1995,-
3501004,Sorgo (em grão),2014,-
3501004,Tomate,1995,84
3501004,Tomate,2014,-
3501004,Trigo (em grão),1995,-
