Municipio,Lavoura permanente,Ano,Valor
3500550,Urucum (semente),2014,-
3500550,Uva,1995,-
3500550,Uva,2014,-
3500600,Abacate,1995,-
3500600,Abacate,2014,-
3500600,Algodão arbóreo (em caroço),1995,-
3500600,Algodão arbóreo (em caroço),2014,-
3500600,Azeitona,1995,-
3500600,Azeitona,2014,-
3500600,Banana (cacho),1995,-
3500600,Banana (cacho),2014,-
3500600,Borracha (látex coagulado),1995,-
3500600,Borracha (látex coagulado),2014,-
3500600,Cacau (em amêndoa),1995,-
3500600,Cacau (em amêndoa),2014,-
3500600,Café (em grão) Total,1995,-
3500600,Café (em grão) Total,2014,-
3500600,Café (em grão) Arábica,1995,-
3500600,Café (em grão) Arábica,2014,-
3500600,Café (em grão) Canephora,1995,-
3500600,Café (em grão) Canephora,2014,-
3500600,Caqui,1995,-
3500600,Caqui,2014,-
3500600,Castanha de caju,1995,-
3500600,Castanha de caju,2014,-
3500600,Chá-da-índia (folha verde),1995,-
3500600,Chá-da-índia (folha verde),2014,-
3500600,Coco-da-baía,1995,-
3500600,Coco-da-baía,2014,-
3500600,Dendê (cacho de coco),1995,-
3500600,Dendê (cacho de coco),2014,-
3500600,Erva-mate (folha verde),1995,-
3500600,Erva-mate (folha verde),2014,-
3500600,Figo,1995,-
3500600,Figo,2014,-
3500600,Goiaba,1995,-
3500600,Goiaba,2014,-
3500600,Guaraná (semente),1995,-
3500600,Guaraná (semente),2014,-
3500600,Laranja,1995,-
3500600,Laranja,2014,-
3500600,Limão,1995,-
3500600,Limão,2014,-
3500600,Maçã,1995,-
3500600,Maçã,2014,-
3500600,Mamão,1995,-
3500600,Mamão,2014,-
3500600,Manga,1995,-
3500600,Manga,2014,-
3500600,Maracujá,1995,-
3500600,Maracujá,2014,-
3500600,Marmelo,1995,-
3500600,Marmelo,2014,-
3500600,Noz (fruto seco),1995,-
3500600,Noz (fruto seco),2014,-
3500600,Palmito,1995,-
3500600,Palmito,2014,-
3500600,Pera,1995,-
3500600,Pera,2014,-
3500600,Pêssego,1995,-
3500600,Pêssego,2014,-
3500600,Pimenta-do-reino,1995,-
3500600,Pimenta-do-reino,2014,-
3500600,Sisal ou agave (fibra),1995,-
3500600,Sisal ou agave (fibra),2014,-
3500600,Tangerina,1995,-
3500600,Tangerina,2014,-
3500600,Tungue (fruto seco),1995,-
3500600,Tungue (fruto seco),2014,-
3500600,Urucum (semente),1995,-
3500600,Urucum (semente),2014,-
3500600,Uva,1995,-
3500600,Uva,2014,-
3500709,Abacate,1995,-
3500709,Abacate,2014,-
3500709,Algodão arbóreo (em caroço),1995,-
3500709,Algodão arbóreo (em caroço),2014,-
3500709,Azeitona,1995,-
3500709,Azeitona,2014,-
3500709,Banana (cacho),1995,-
3500709,Banana (cacho),2014,-
3500709,Borracha (látex coagulado),1995,-
3500709,Borracha (látex coagulado),2014,219
3500709,Cacau (em amêndoa),1995,-
3500709,Cacau (em amêndoa),2014,-
3500709,Café (em grão) Total,1995,501
3500709,Café (em grão) Total,2014,696
3500709,Café (em grão) Arábica,1995,-
3500709,Café (em grão) Arábica,2014,696
3500709,Café (em grão) Canephora,1995,-
3500709,Café (em grão) Canephora,2014,-
3500709,Caqui,1995,-
3500709,Caqui,2014,-
3500709,Castanha de caju,1995,-
3500709,Castanha de caju,2014,-
3500709,Chá-da-índia (folha verde),1995,-
3500709,Chá-da-índia (folha verde),2014,-
3500709,Coco-da-baía,1995,-
3500709,Coco-da-baía,2014,-
3500709,Dendê (cacho de coco),1995,-
