Município,Ano,Area Colhida
3501905,1996,7102
3501905,1997,16874
3501905,1998,4470
3501905,1999,4475
3501905,2000,3622
3501905,2001,3746
3501905,2002,3969
3501905,2003,3862
3501905,2004,3603
3501905,2005,3961
3501905,2006,3940
3501905,2007,3965
3501905,2008,3903
3501905,2009,3933
3501905,2010,3933
3501905,2011,3481
3501905,2012,2939
3501905,2013,2915
3501905,2014,2827
3502002,1990,1734
3502002,1991,1792
3502002,1992,1761
3502002,1993,1380
3502002,1994,1808
3502002,1995,385
3502002,1996,171
3502002,1997,2202
3502002,1998,2261
3502002,1999,2401
3502002,2000,2035
3502002,2001,2061
3502002,2002,2522
3502002,2003,2120
3502002,2004,1594
3502002,2005,1811
3502002,2006,1831
3502002,2007,1954
3502002,2008,2553
3502002,2009,2004
3502002,2010,2003
3502002,2011,2003
3502002,2012,813
3502002,2013,1063
3502002,2014,1013
3502101,1990,979
3502101,1991,555
3502101,1992,696
3502101,1993,671
3502101,1994,593
3502101,1995,616
3502101,1996,583
3502101,1997,567
3502101,1998,580
3502101,1999,247
3502101,2000,121
3502101,2001,377
3502101,2002,475
3502101,2003,547
3502101,2004,422
3502101,2005,181
3502101,2006,181
3502101,2007,158
3502101,2008,185
3502101,2009,193
3502101,2010,193
3502101,2011,182
3502101,2012,72
3502101,2013,355
3502101,2014,76
3502200,1990,1324
3502200,1991,1424
3502200,1992,1107
3502200,1993,971
3502200,1994,2233
3502200,1995,2208
3502200,1996,2280
3502200,1997,2205
3502200,1998,2147
3502200,1999,2175
3502200,2000,1835
3502200,2001,1848
3502200,2002,2215
3502200,2003,2066
3502200,2004,1787
3502200,2005,1777
3502200,2006,1781
3502200,2007,2228
3502200,2008,1790
3502200,2009,1776
3502200,2010,2054
3502200,2011,2448
3502200,2012,3295
3502200,2013,5099
3502200,2014,5118
3502309,1990,107
3502309,1991,105
3502309,1992,237
3502309,1993,187
3502309,1994,247
3502309,1995,259
3502309,1996,12
3502309,1997,265
3502309,1998,263
3502309,1999,263
3502309,2000,192
3502309,2001,280
3502309,2002,249
3502309,2003,393
3502309,2004,382
3502309,2005,382
3502309,2006,400
3502309,2007,1550
3502309,2008,2154
3502309,2009,2356
3502309,2010,3040
3502309,2011,3100
3502309,2012,1700
3502309,2013,1900
3502309,2014,1940
3502408,1990,700
3502408,1991,100
3502408,1992,100
3502408,1993,100
3502408,1994,-
3502408,1995,77
3502408,1996,77
3502408,1997,46
3502408,1998,47
3502408,1999,47
3502408,2000,57
3502408,2001,52
3502408,2002,51
3502408,2003,51
3502408,2004,51
3502408,2005,111
3502408,2006,110
3502408,2007,110
3502408,2008,122
3502408,2009,182
3502408,2010,182
3502408,2011,182
3502408,2012,170
3502408,2013,170
3502408,2014,180
3502606,1990,2127
3502606,1991,2407
3502606,1992,2081
3502606,1993,2020
3502606,1994,1742
3502606,1995,1485
3502606,1996,1611
3502606,1997,1434
3502606,1998,1654
3502606,1999,1784
3502606,2000,1549
3502606,2001,2013
3502606,2002,2376
3502606,2003,1930
3502606,2004,1870
3502606,2005,1459
3502606,2006,1417
3502606,2007,130
3502606,2008,1306
3502606,2009,1618
3502606,2010,1613
3502606,2011,1740
3502606,2012,1897
3502606,2013,1434
3502606,2014,1553
3502705,1990,53
3502705,1991,120
3502705,1992,125
3502705,1993,124
3502705,1994,147
3502705,1995,146
3502705,1996,147
3502705,1997,147
3502705,1998,139
3502705,1999,116
3502705,2000,143
3502705,2001,113
3502705,2002,113
3502705,2003,137
3502705,2004,137
3502705,2005,135
3502705,2006,125
3502705,2007,125
3502705,2008,110
3502705,2009,105
3502705,2010,81
3502705,2011,48
3502705,2012,48
3502705,2013,48
3502705,2014,217
3502754,1990,-
3502754,1991,-
3502754,1992,-
3502754,1993,-
3502754,1994,-
3502754,1995,-
3502754,1996,-
3502754,1997,-
3502754,1998,-
3502754,1999,-
3502754,2000,13
3502754,2001,8
3502754,2002,8
3502754,2003,8
3502754,2004,7
3502754,2005,8
3502754,2006,8
3502754,2007,8
3502754,2008,4
3502754,2009,20
3502754,2010,13
3502754,2011,15
3502754,2012,11
3502754,2013,17
3502754,2014,17
3502804,1990,888
3502804,1991,984
3502804,1992,313
3502804,1993,3317
3502804,1994,269
